time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1
84600,70.59565978,259.7733,0.01493255,0.06377384,0.000831676,0.002036173,2.40E-05,1.55E-06,0.000103506,8.72E-06,1.68E-06,1.43E-07,9.32E-09,9.92E-06,0.000342805,9.01E-05,0.000118295,0.000950644,1.44E-05,3.31E-07,4.46E-05,1.85E-26,2.26E-26,0.00378915,0.006524911,0.005003813,0.000382517,0.00022949,1.99E-10,8.27E-05,1.63E-08,2.86E-27,3.43E-27,3.83E-05,2.71E-06,2.68E-08,6.64E-09,4.51E-07,8.85E-05,7.53E-05,0.000297213,0.003701003,0.00059757,5.41E-07,0.000182211,0.00030606,8.61E-07,0.242168,0.01321462,1.93E-29,6.74E-10,0.005462524,0.001176869,0.1020178,0.01366557,4.23E-05,7.90E-05
86400,70.59565978,259.8538,0.01435814,0.06122242,0.000801335,0.001961889,2.33E-05,1.44E-06,0.000100585,8.51E-06,1.59E-06,1.34E-07,8.75E-09,9.54E-06,0.00033183,8.76E-05,0.000113676,0.000912118,1.39E-05,3.08E-07,4.31E-05,2.87E-31,3.51E-31,0.003638459,0.006265162,0.004830563,0.000369298,0.000221706,1.71E-10,8.04E-05,1.28E-08,4.43E-32,5.32E-32,3.74E-05,2.57E-06,2.49E-08,6.15E-09,4.24E-07,8.61E-05,7.25E-05,0.000286622,0.003563473,0.000575313,5.19E-07,0.000175831,0.00029726,7.29E-07,0.2327275,0.01267977,3.53E-34,6.32E-10,0.005201001,0.001125229,0.09798604,0.01312834,4.12E-05,7.61E-05
88200,70.59565978,259.9749,0.01380648,0.05828977,0.000765961,0.001875283,2.23E-05,1.30E-06,9.61E-05,8.19E-06,1.46E-06,1.21E-07,8.01E-09,8.99E-06,0.000314909,8.45E-05,0.000108271,0.000853346,1.32E-05,2.78E-07,4.08E-05,0,0,0.003470427,0.005917893,0.004571225,0.00034998,0.000209937,1.37E-10,7.69E-05,9.14E-09,0,0,3.59E-05,2.37E-06,2.23E-08,5.52E-09,3.89E-07,8.23E-05,6.83E-05,0.000270578,0.003418009,0.000548632,4.87E-07,0.000166949,0.000283677,5.75E-07,0.2257708,0.01230856,0,5.79E-10,0.004804895,0.001063523,0.093712,0.01255834,3.96E-05,7.20E-05
90000,70.59565978,260.1266,0.01268916,0.05336058,0.000697408,0.001707447,2.02E-05,1.09E-06,8.58E-05,7.44E-06,1.26E-06,1.02E-07,6.87E-09,8.04E-06,0.000276838,7.97E-05,9.91E-05,0.000726021,1.19E-05,2.34E-07,3.61E-05,0,0,0.003176368,0.005237723,0.004021455,0.000308397,0.000184251,9.47E-11,6.90E-05,5.40E-09,0,0,3.28E-05,2.05E-06,1.87E-08,4.62E-09,3.34E-07,7.47E-05,5.94E-05,0.000236411,0.003141946,0.000501177,4.33E-07,0.000149411,0.000252974,3.93E-07,0.2098204,0.01143962,0,4.99E-10,0.003968243,0.000933163,0.08571562,0.01148765,3.59E-05,6.33E-05
91800,70.59565978,260.2191,0.01163554,0.04802046,0.000598974,0.001466452,1.54E-05,7.30E-07,6.12E-05,5.55E-06,8.91E-07,6.93E-08,4.81E-09,6.00E-06,0.000188132,7.26E-05,8.83E-05,0.000452803,9.00E-06,1.58E-07,2.66E-05,0,0,0.00286337,0.004063155,0.002861804,0.00022026,0.000127589,4.22E-11,5.00E-05,1.88E-09,0,0,2.52E-05,1.45E-06,1.25E-08,3.10E-09,2.34E-07,5.67E-05,4.02E-05,0.000162952,0.002834761,0.000436936,3.20E-07,0.00011634,0.000181407,1.54E-07,0.2000602,0.01101796,0,3.46E-10,0.002288379,0.000723595,0.07752767,0.01038681,2.67E-05,4.51E-05
93600,70.59565978,260.3597,0.009280612,0.03461528,0.000355427,0.000870182,7.65E-08,3.36E-09,2.27E-07,2.21E-08,4.65E-09,3.36E-10,2.45E-11,3.44E-08,5.14E-07,3.41E-05,5.98E-05,3.19E-06,5.17E-08,7.56E-10,5.63E-06,0,0,0.002118607,0.001757556,0.000307154,3.57E-05,8.77E-06,1.18E-14,1.94E-07,1.62E-13,0,0,1.22E-07,7.61E-09,5.88E-11,1.49E-11,1.23E-09,1.16E-06,1.73E-06,1.67E-05,0.002003086,0.000264717,1.86E-09,3.57E-05,8.30E-07,4.42E-13,0.1669058,0.009325071,0,1.21E-12,7.31E-05,0.00039145,0.06028961,0.008080377,1.09E-07,6.98E-06
95400,70.59565978,260.2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97200,70.59565978,260.3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99000,70.59565978,260.4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100800,70.59565978,260.5383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102600,70.59565978,260.6949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104400,70.59565978,260.9123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106200,70.59565978,261.1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108000,70.59565978,261.4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109800,70.59565978,261.6717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111600,70.59565978,261.8692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113400,70.59565978,262.0536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115200,70.59565978,262.2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117000,70.59565978,262.3768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118800,70.59565978,262.4846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120600,70.59565978,262.5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122400,70.59565978,262.4449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124200,70.59565978,262.2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126000,70.59565978,262.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127800,70.59565978,261.7089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129600,70.59565978,261.3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131400,70.59565978,260.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133200,70.59565978,260.4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135000,70.59565978,259.9854,0.005645344,0.009766747,0.000157635,0.000385934,1.58E-09,3.10E-11,5.94E-09,5.60E-10,5.56E-11,3.71E-12,3.18E-13,5.01E-10,1.65E-08,1.69E-06,1.59E-05,9.33E-08,8.10E-10,8.31E-12,8.37E-07,0,0,0.000779412,0.000515908,9.05E-07,1.16E-05,7.44E-07,0,4.84E-09,0,0,0,2.50E-09,8.92E-11,5.97E-13,1.73E-13,1.49E-11,2.35E-08,1.01E-07,1.02E-05,0.000977715,7.50E-05,2.39E-11,4.83E-06,1.92E-08,0,0.07864518,0.004069773,0,3.12E-14,3.93E-07,0.000167774,0.03014356,0.004089296,2.66E-09,7.77E-07
136800,70.59565978,259.4696,0.01064083,0.04420028,0.000513127,0.001256276,1.05E-05,5.00E-07,3.74E-05,3.57E-06,6.24E-07,4.77E-08,3.35E-09,4.27E-06,0.000105932,6.54E-05,8.02E-05,0.000234664,6.41E-06,1.08E-07,1.84E-05,0,0,0.002627865,0.003177747,0.001875941,0.000142737,7.76E-05,2.20E-11,3.11E-05,8.70E-10,0,0,1.72E-05,1.02E-06,8.55E-09,2.13E-09,1.64E-07,4.03E-05,2.47E-05,0.00010292,0.002557295,0.000386499,2.29E-07,8.83E-05,0.000114409,6.55E-08,0.1838484,0.0100931,0,2.13E-10,0.001117304,0.000557546,0.07100873,0.009504654,1.72E-05,3.00E-05
138600,70.59565978,259.0168,0.01241735,0.05159196,0.000664095,0.001625889,1.89E-05,9.97E-07,7.81E-05,6.88E-06,1.17E-06,9.33E-08,6.33E-09,7.51E-06,0.000247802,7.69E-05,9.56E-05,0.000625947,1.11E-05,2.14E-07,3.26E-05,0,0,0.003078034,0.004788671,0.003569914,0.000277139,0.000164084,7.91E-11,6.31E-05,4.21E-09,0,0,3.08E-05,1.89E-06,1.70E-08,4.21E-09,3.08E-07,6.96E-05,5.27E-05,0.000210309,0.003049285,0.000478199,4.04E-07,0.000135649,0.000229899,3.17E-07,0.2069775,0.0112687,0,4.52E-10,0.003290435,0.000850294,0.08341421,0.01117011,3.32E-05,5.67E-05
140400,70.59565978,258.5807,0.0138832,0.05752032,0.000752279,0.001841785,2.15E-05,1.24E-06,9.19E-05,7.89E-06,1.40E-06,1.15E-07,7.68E-09,8.69E-06,0.000299315,8.28E-05,0.000106746,0.000795637,1.28E-05,2.66E-07,3.88E-05,0,0,0.00343842,0.005669693,0.004311675,0.000332551,0.000198493,1.25E-10,7.36E-05,8.01E-09,0,0,3.49E-05,2.27E-06,2.13E-08,5.26E-09,3.73E-07,7.96E-05,6.45E-05,0.000255699,0.003402495,0.000537203,4.70E-07,0.000158511,0.000270803,5.14E-07,0.2298198,0.01252621,0,5.50E-10,0.004405203,0.001026223,0.09348086,0.01251711,3.82E-05,6.82E-05
142200,70.59565978,258.4598,0.01479097,0.06150091,0.000803892,0.00196815,2.28E-05,1.40E-06,9.83E-05,8.34E-06,1.55E-06,1.30E-07,8.53E-09,9.35E-06,0.000323212,8.68E-05,0.000114071,0.00087798,1.36E-05,3.00E-07,4.20E-05,1.47E-33,1.79E-33,0.003675099,0.006154582,0.004677178,0.00035979,0.000215026,1.62E-10,7.85E-05,1.18E-08,2.26E-34,2.72E-34,3.68E-05,2.50E-06,2.41E-08,5.97E-09,4.14E-07,8.44E-05,7.03E-05,0.000277938,0.003622514,0.000573923,5.07E-07,0.00017071,0.000289846,6.77E-07,0.2440231,0.01331241,2.09E-36,6.11E-10,0.004962401,0.001121566,0.09987969,0.01337085,4.04E-05,7.40E-05
144000,70.59565978,258.3582,0.01590512,0.06568471,0.000854552,0.00209218,2.36E-05,1.52E-06,0.000102472,8.62E-06,1.65E-06,1.40E-07,9.16E-09,9.78E-06,0.000339287,9.05E-05,0.000121736,0.000931467,1.42E-05,3.25E-07,4.42E-05,8.24E-28,1.01E-27,0.003931691,0.006552206,0.004924207,0.000378618,0.000225833,1.92E-10,8.15E-05,1.54E-08,1.27E-28,1.53E-28,3.80E-05,2.67E-06,2.62E-08,6.51E-09,4.43E-07,8.75E-05,7.41E-05,0.00029274,0.003870201,0.000609726,5.32E-07,0.000178857,0.000302093,8.17E-07,0.2640488,0.01439838,9.34E-31,6.59E-10,0.005332533,0.001208573,0.1071729,0.01432973,4.18E-05,7.80E-05
145800,70.59565978,258.3182,0.01641827,0.06795037,0.000881108,0.002157196,2.42E-05,1.60E-06,0.000104773,8.78E-06,1.73E-06,1.48E-07,9.63E-09,1.01E-05,0.000348038,9.29E-05,0.000125828,0.00096271,1.46E-05,3.44E-07,4.56E-05,2.61E-24,3.19E-24,0.00406514,0.00677616,0.005069978,0.000389469,0.000232167,2.17E-10,8.33E-05,1.88E-08,4.03E-25,4.84E-25,3.88E-05,2.79E-06,2.78E-08,6.92E-09,4.66E-07,8.94E-05,7.64E-05,0.000301371,0.003992485,0.000629526,5.50E-07,0.000184311,0.000309038,9.37E-07,0.2731173,0.01491375,2.58E-27,6.96E-10,0.005549515,0.001254445,0.1107192,0.01480059,4.26E-05,8.03E-05
147600,70.59565978,258.2795,0.01716818,0.0707136,0.000913579,0.002236693,2.46E-05,1.67E-06,0.000106655,8.91E-06,1.79E-06,1.55E-07,1.00E-08,1.03E-05,0.0003552,9.55E-05,0.000130731,0.000988378,1.49E-05,3.59E-07,4.67E-05,5.13E-22,6.27E-22,0.004234743,0.007004501,0.005192371,0.000399277,0.000237506,2.38E-10,8.48E-05,2.19E-08,7.92E-23,9.51E-23,3.93E-05,2.88E-06,2.91E-08,7.26E-09,4.83E-07,9.09E-05,7.83E-05,0.000308501,0.00415644,0.000652482,5.63E-07,0.000189453,0.000314757,1.04E-06,0.2874599,0.01573442,4.63E-25,7.29E-10,0.00572827,0.001307233,0.1155385,0.01544217,4.33E-05,8.24E-05
149400,70.59565978,258.2521,0.01751237,0.07216316,0.000929932,0.002276731,2.49E-05,1.73E-06,0.000107697,8.99E-06,1.83E-06,1.59E-07,1.03E-08,1.05E-05,0.000359172,9.70E-05,0.000133317,0.00100275,1.51E-05,3.71E-07,4.74E-05,1.87E-20,2.29E-20,0.00432072,0.007128531,0.005262973,0.00040463,0.000240491,2.55E-10,8.56E-05,2.46E-08,2.89E-21,3.47E-21,3.97E-05,2.95E-06,3.01E-08,7.52E-09,4.96E-07,9.18E-05,7.93E-05,0.000312569,0.004236103,0.000664762,5.73E-07,0.000192393,0.000317893,1.12E-06,0.2939266,0.01610554,1.59E-23,7.54E-10,0.005829013,0.001333858,0.1178496,0.01574893,4.36E-05,8.35E-05
151200,70.59565978,258.1888,0.01797893,0.07383911,0.000949258,0.002324045,2.51E-05,1.77E-06,0.000108561,9.05E-06,1.87E-06,1.63E-07,1.05E-08,1.06E-05,0.000362469,9.86E-05,0.000136269,0.001014703,1.52E-05,3.80E-07,4.80E-05,2.24E-19,2.74E-19,0.004423975,0.007254889,0.005322879,0.00040956,0.000243045,2.69E-10,8.62E-05,2.70E-08,3.46E-20,4.15E-20,4.00E-05,3.00E-06,3.09E-08,7.72E-09,5.06E-07,9.26E-05,8.02E-05,0.00031597,0.004336708,0.000678466,5.81E-07,0.000195171,0.000320515,1.18E-06,0.3032123,0.01664082,1.83E-22,7.75E-10,0.005912975,0.001364506,0.1207983,0.01614126,4.40E-05,8.46E-05
153000,70.59565978,258.0751,0.01822002,0.07473165,0.000959435,0.002348962,2.53E-05,1.79E-06,0.000109019,9.08E-06,1.89E-06,1.66E-07,1.07E-08,1.07E-05,0.000364217,9.95E-05,0.000137843,0.001021057,1.54E-05,3.86E-07,4.84E-05,1.20E-18,1.47E-18,0.004478439,0.007322486,0.005355384,0.000412169,0.000244403,2.79E-10,8.66E-05,2.88E-08,1.86E-19,2.23E-19,4.02E-05,3.04E-06,3.15E-08,7.87E-09,5.14E-07,9.30E-05,8.07E-05,0.000317816,0.004389362,0.000685822,5.86E-07,0.000196687,0.000321883,1.23E-06,0.3080951,0.01692354,9.54E-22,7.90E-10,0.005957623,0.001380794,0.1223292,0.01634469,4.41E-05,8.51E-05
154800,70.59565978,257.9156,0.01849891,0.07568385,0.000970423,0.002375862,2.54E-05,1.81E-06,0.000109403,9.10E-06,1.91E-06,1.68E-07,1.08E-08,1.08E-05,0.000365683,0.000100358,0.00013951,0.001026403,1.54E-05,3.91E-07,4.87E-05,3.47E-18,4.25E-18,0.004537814,0.00738923,0.005383212,0.000414572,0.000245579,2.86E-10,8.69E-05,3.01E-08,5.36E-19,6.44E-19,4.03E-05,3.07E-06,3.19E-08,7.97E-09,5.19E-07,9.33E-05,8.11E-05,0.000319363,0.004448193,0.00069349,5.90E-07,0.000198101,0.000323045,1.26E-06,0.3138109,0.0172542,2.71E-21,8.00E-10,0.005995387,0.001398,0.1240549,0.01657434,4.43E-05,8.56E-05
156600,70.59565978,257.718,0.01830557,0.07523111,0.00096481,0.002362121,2.54E-05,1.82E-06,0.000109507,9.11E-06,1.92E-06,1.69E-07,1.08E-08,1.08E-05,0.000366079,0.000100157,0.000138751,0.001027815,1.55E-05,3.93E-07,4.87E-05,5.99E-18,7.32E-18,0.004506063,0.007372168,0.005388719,0.000414494,0.000245784,2.90E-10,8.70E-05,3.08E-08,9.24E-19,1.11E-18,4.04E-05,3.08E-06,3.21E-08,8.03E-09,5.21E-07,9.35E-05,8.12E-05,0.000319727,0.004412735,0.00069029,5.92E-07,0.000197975,0.000323346,1.28E-06,0.3096437,0.01701438,4.64E-21,8.05E-10,0.006005007,0.001390203,0.1229792,0.01643013,4.43E-05,8.56E-05
158400,70.59565978,257.482,0.01804993,0.07456164,0.000956704,0.002342274,2.54E-05,1.83E-06,0.000109518,9.11E-06,1.92E-06,1.69E-07,1.08E-08,1.08E-05,0.000366123,9.97E-05,0.000137614,0.001027952,1.55E-05,3.94E-07,4.86E-05,6.46E-18,7.90E-18,0.00446089,0.007339656,0.005387555,0.000413859,0.000245713,2.91E-10,8.70E-05,3.09E-08,9.97E-19,1.20E-18,4.04E-05,3.08E-06,3.21E-08,8.04E-09,5.21E-07,9.35E-05,8.12E-05,0.000319705,0.004364022,0.000685323,5.92E-07,0.000197512,0.000323379,1.28E-06,0.3041801,0.01669945,5.00E-21,8.06E-10,0.006005744,0.001378446,0.1215178,0.01623463,4.43E-05,8.56E-05
160200,70.59565978,257.2539,0.01798902,0.07435489,0.000953443,0.002334291,2.53E-05,1.82E-06,0.000109519,9.10E-06,1.91E-06,1.68E-07,1.08E-08,1.08E-05,0.000366418,9.96E-05,0.000137441,0.001025771,1.54E-05,3.92E-07,4.85E-05,4.40E-18,5.38E-18,0.004447987,0.007324831,0.005381131,0.000412751,0.000245156,2.88E-10,8.68E-05,3.04E-08,6.79E-19,8.15E-19,4.03E-05,3.07E-06,3.19E-08,7.99E-09,5.20E-07,9.32E-05,8.11E-05,0.000319333,0.004351301,0.00068364,5.89E-07,0.000195913,0.000322991,1.27E-06,0.3027858,0.01655955,3.42E-21,8.02E-10,0.005994688,0.001374176,0.1211476,0.01616943,4.42E-05,8.54E-05
162000,70.59565978,257.0519,0.01777599,0.07364582,0.00094521,0.002314135,2.53E-05,1.80E-06,0.000109243,9.08E-06,1.90E-06,1.67E-07,1.07E-08,1.07E-05,0.000365364,9.90E-05,0.0001362,0.001021956,1.54E-05,3.88E-07,4.83E-05,1.83E-18,2.23E-18,0.004403475,0.007275885,0.005361483,0.000411013,0.000244319,2.82E-10,8.66E-05,2.93E-08,2.82E-19,3.38E-19,4.02E-05,3.05E-06,3.16E-08,7.91E-09,5.15E-07,9.30E-05,8.08E-05,0.000318217,0.004306807,0.000677958,5.86E-07,0.000194902,0.000322161,1.24E-06,0.298382,0.01630532,1.44E-21,7.92E-10,0.00596798,0.001361229,0.1198413,0.01599571,4.41E-05,8.50E-05
163800,70.59565978,256.869,0.01760186,0.07295854,0.000937436,0.002295102,2.51E-05,1.77E-06,0.000108819,9.05E-06,1.87E-06,1.64E-07,1.06E-08,1.06E-05,0.000363748,9.83E-05,0.000134978,0.00101612,1.53E-05,3.82E-07,4.80E-05,4.26E-19,5.21E-19,0.004362182,0.007220615,0.005332456,0.000408753,0.000243095,2.72E-10,8.63E-05,2.76E-08,6.58E-20,7.89E-20,4.01E-05,3.01E-06,3.10E-08,7.77E-09,5.09E-07,9.26E-05,8.04E-05,0.000316539,0.004267677,0.000672221,5.81E-07,0.000193634,0.000320892,1.20E-06,0.2949081,0.01610417,3.43E-22,7.78E-10,0.00592725,0.001348519,0.1187092,0.01584568,4.40E-05,8.45E-05
165600,70.59565978,256.705,0.01705785,0.07120706,0.000916918,0.002244869,2.49E-05,1.74E-06,0.000108174,9.00E-06,1.84E-06,1.61E-07,1.04E-08,1.05E-05,0.0003613,9.68E-05,0.000131919,0.001007312,1.51E-05,3.73E-07,4.75E-05,4.80E-20,5.87E-20,0.004251093,0.00710254,0.005287713,0.000404623,0.000241153,2.60E-10,8.58E-05,2.54E-08,7.41E-21,8.89E-21,3.98E-05,2.96E-06,3.03E-08,7.58E-09,4.99E-07,9.20E-05,7.97E-05,0.000313958,0.00415556,0.000658321,5.74E-07,0.000191266,0.00031896,1.14E-06,0.2837288,0.01546024,4.00E-23,7.60E-10,0.005865932,0.001316594,0.1153986,0.01540494,4.38E-05,8.37E-05
167400,70.59565978,256.5867,0.01655675,0.06943297,0.000896391,0.002194613,2.47E-05,1.69E-06,0.00010724,8.94E-06,1.80E-06,1.56E-07,1.01E-08,1.04E-05,0.000357752,9.52E-05,0.000128789,0.000994598,1.49E-05,3.62E-07,4.69E-05,2.01E-21,2.46E-21,0.004141307,0.006969523,0.005225464,0.000399406,0.000238456,2.43E-10,8.50E-05,2.27E-08,3.11E-22,3.73E-22,3.95E-05,2.90E-06,2.94E-08,7.34E-09,4.87E-07,9.11E-05,7.87E-05,0.000310315,0.004048158,0.0006439,5.65E-07,0.0001884,0.00031615,1.06E-06,0.2737749,0.01488766,1.76E-24,7.36E-10,0.005777692,0.001284025,0.1122417,0.01498523,4.34E-05,8.26E-05
169200,70.59565978,256.526,0.01585896,0.06701785,0.00086803,0.002125176,2.43E-05,1.62E-06,0.000105882,8.84E-06,1.75E-06,1.50E-07,9.75E-09,1.02E-05,0.000352613,9.31E-05,0.000124526,0.000976331,1.47E-05,3.48E-07,4.60E-05,1.98E-23,2.42E-23,0.0039908,0.006785741,0.005138078,0.000392012,0.000234606,2.23E-10,8.40E-05,1.97E-08,3.06E-24,3.67E-24,3.90E-05,2.81E-06,2.82E-08,7.02E-09,4.71E-07,8.99E-05,7.74E-05,0.000305127,0.003899784,0.000624271,5.53E-07,0.000184467,0.000312064,9.72E-07,0.2599959,0.01409681,1.85E-26,7.07E-10,0.005651743,0.001238741,0.107867,0.01440316,4.29E-05,8.11E-05
171000,70.59565978,256.5047,0.01560376,0.06543262,0.000850517,0.0020823,2.38E-05,1.54E-06,0.000103845,8.70E-06,1.68E-06,1.43E-07,9.31E-09,9.87E-06,0.000344917,9.13E-05,0.000121603,0.000949158,1.43E-05,3.30E-07,4.49E-05,1.92E-26,2.35E-26,0.003902803,0.006612436,0.005013817,0.000383,0.000229148,2.00E-10,8.24E-05,1.63E-08,2.97E-27,3.56E-27,3.83E-05,2.70E-06,2.67E-08,6.64E-09,4.51E-07,8.82E-05,7.54E-05,0.000297632,0.003827599,0.000610114,5.36E-07,0.000180059,0.000305916,8.59E-07,0.2569309,0.01393359,1.99E-29,6.72E-10,0.00546525,0.00120946,0.1057634,0.01412476,4.22E-05,7.91E-05
172800,70.59565978,256.563,0.01472336,0.06211144,0.000810778,0.001985008,2.31E-05,1.44E-06,0.000100951,8.49E-06,1.58E-06,1.33E-07,8.75E-09,9.49E-06,0.000334028,8.83E-05,0.000115657,0.00091117,1.38E-05,3.08E-07,4.32E-05,3.00E-31,3.67E-31,0.003699533,0.00631628,0.00484081,0.000369181,0.000221368,1.71E-10,8.01E-05,1.28E-08,4.64E-32,5.57E-32,3.74E-05,2.56E-06,2.47E-08,6.15E-09,4.24E-07,8.58E-05,7.26E-05,0.000287076,0.003632453,0.000582176,5.14E-07,0.000173318,0.000297217,7.27E-07,0.2408285,0.01301992,3.67E-34,6.30E-10,0.005206831,0.001143761,0.1000073,0.01335863,4.12E-05,7.62E-05
